# ion_class=Other, nodes=3216, copies_total=6527
node_id,name,ion_class,copies,unique_ids
164,263988_gaines_sensory_mysa-ID-11,Other,15,263988_gaines_sensory_mysa-ID-11;263988_gaines_sensory_mysa-ID-7;263988_gaines_sensory_mysa-ID-4;263988_gaines_sensory_mysa-ID-10;263988_gaines_sensory_mysa-ID-1;263988_gaines_sensory_mysa-ID-13;263988_gaines_sensory_mysa-ID-5;263988_gaines_sensory_mysa-ID-9;263988_gaines_sensory_mysa-ID-15;263988_gaines_sensory_mysa-ID-2;263988_gaines_sensory_mysa-ID-8;263988_gaines_sensory_mysa-ID-6;263988_gaines_sensory_mysa-ID-14;263988_gaines_sensory_mysa-ID-3;263988_gaines_sensory_mysa-ID-12
165,263988_MRG_AXNODE-ID-13,Other,21,263988_MRG_AXNODE-ID-13;263988_MRG_AXNODE-ID-15;263988_MRG_AXNODE-ID-12;263988_MRG_AXNODE-ID-4;263988_MRG_AXNODE-ID-3;263988_MRG_AXNODE-ID-1;263988_MRG_AXNODE-ID-9;263988_MRG_AXNODE-ID-19;263988_MRG_AXNODE-ID-11;263988_MRG_AXNODE-ID-7;263988_MRG_AXNODE-ID-5;263988_MRG_AXNODE-ID-10;263988_MRG_AXNODE-ID-21;263988_MRG_AXNODE-ID-20;263988_MRG_AXNODE-ID-14;263988_MRG_AXNODE-ID-8;263988_MRG_AXNODE-ID-17;263988_MRG_AXNODE-ID-6;263988_MRG_AXNODE-ID-18;263988_MRG_AXNODE-ID-2;263988_MRG_AXNODE-ID-16
167,267184_mStepIClamp-ID-1,Other,1,267184_mStepIClamp-ID-1
168,235769_KCa-ID-4,Other,9,235769_KCa-ID-4;235769_KCa-ID-1;235769_KCa-ID-2;235769_KCa-ID-3;266732_KCa-ID-2;266732_KCa-ID-3;266732_KCa-ID-1;266732_KCa-ID-4;267184_KCa-ID-1
169,235769_module3-ID-4,Other,9,235769_module3-ID-4;235769_module3-ID-1;235769_module3-ID-2;235769_module3-ID-3;266732_module3-ID-1;266732_module3-ID-2;266732_module3-ID-4;266732_module3-ID-3;267184_module3-ID-1
170,235769_Xm-ID-1,Other,7,235769_Xm-ID-1;235769_Xm-ID-2;235769_Xm-ID-4;235769_Xm-ID-3;266732_Xm-ID-1;266732_Xm-ID-3;267184_Xm-ID-1
171,267184_RampIClampNoise-ID-1,Other,1,267184_RampIClampNoise-ID-1
172,235769_KDr-ID-1,Other,9,235769_KDr-ID-1;235769_KDr-ID-2;235769_KDr-ID-4;235769_KDr-ID-3;266732_KDr-ID-3;266732_KDr-ID-2;266732_KDr-ID-1;266732_KDr-ID-4;267184_KDr-ID-1
173,235769_Ca_conc-ID-1,Other,9,235769_Ca_conc-ID-1;235769_Ca_conc-ID-3;235769_Ca_conc-ID-2;235769_Ca_conc-ID-4;266732_Ca_conc-ID-1;266732_Ca_conc-ID-3;266732_Ca_conc-ID-2;266732_Ca_conc-ID-4;267184_Ca_conc-ID-1
174,235769_Naf-ID-4,Other,9,235769_Naf-ID-4;235769_Naf-ID-1;235769_Naf-ID-2;235769_Naf-ID-3;266732_Naf-ID-4;266732_Naf-ID-2;266732_Naf-ID-1;266732_Naf-ID-3;267184_Naf-ID-1
